layer,pca_99_mean,pca_99_std,twonn_mean,twonn_std,pr_mean,pr_std,eff_rank_mean,eff_rank_std,separability_mean,separability_std,lr_mean_mean,lr_mean_std,lr_mean_max,spec_index_mean,spec_index_std,spec_index_max,selectivity_mean,selectivity_std,selectivity_max
0,8.0,2.32992949004287,6.597282456020111,0.9032013407035668,3.1004531383514404,0.7095541764836888,4.1096954345703125,0.9058326704010495,1.4284513202768183,0.04744308700647435,0.3426875,0.08760786718587062,0.4365,1.2472491785883904,0.20643908243654016,1.466002106666565,0.3264984767884016,0.13522498714450462,0.4690968096256256
1,17.0,2.0655911179772883,7.679528701517508,0.6054168040022373,7.415807723999023,1.5382094179688535,10.060507774353027,1.7618999341678194,1.3242863528123614,0.05622290583618452,0.538875,0.08292777982477686,0.637,0.7820044010877609,0.18447964913748766,1.2698135375976562,0.3126606671139598,0.06346094943388397,0.427608460187912
2,21.84375,1.5514212499308009,8.919195284827259,1.2928720179311415,12.902640024820963,2.7498131254447222,16.230267842610676,2.633895522666415,1.284946449535703,0.06974183145226895,0.655109375,0.06966767743800037,0.8324999999999999,0.6655931252365311,0.1983832467049154,1.3492670059204102,0.3104494665749371,0.06928429439611396,0.5846221446990967
3,22.96875,0.835117138442647,8.962528488173994,0.7626147128069445,14.492451667785645,2.4714587567313755,17.824283599853516,2.2077762038323265,1.4720132895671583,0.1793307961850738,0.808125,0.0889568291943764,0.9324999999999999,1.2314539314247668,0.5686601814142583,2.7691650390625,0.3967040355782956,0.11937710597111378,0.6264023780822754
